Year,Value,UNIT_MEASURE
1989,15.5,Број на 1.000 становника
1990,15.4,Број на 1.000 становника
1991,14.9,Број на 1.000 становника
1996,12.8,Број на 1.000 становника
1997,12.9,Број на 1.000 становника
1998,12.3,Број на 1.000 становника
1999,11.4,Број на 1.000 становника
2000,10.5,Број на 1.000 становника
2001,9.9,Број на 1.000 становника
2002,9.3,Број на 1.000 становника
2003,9.2,Број на 1.000 становника
2004,9.1,Број на 1.000 становника
2005,9.0,Број на 1.000 становника
2006,8.9,Број на 1.000 становника
2007,8.8,Број на 1.000 становника
2008,8.9,Број на 1.000 становника
2009,9.0,Број на 1.000 становника
2010,8.7,Број на 1.000 становника
2011,8.3,Број на 1.000 становника
2012,8.5,Број на 1.000 становника
2013,8.7,Број на 1.000 становника
2014,8.6,Број на 1.000 становника
2015,8.5,Број на 1.000 становника
2016,8.6,Број на 1.000 становника
2017,8.6,Број на 1.000 становника
2018,8.4,Број на 1.000 становника
2019,8.1,Број на 1.000 становника
